Municipality,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
København,31.25,31.86,32.13,32.7,33.24,33.65,33.71,33.95,34.35,35.09,34.56
Frederiksberg,33.53,33.92,34.98,34.37,34.85,35.71,35.42,35.92,35.72,37.22,36.95
Dragør,25.95,26.75,27.03,27.4,28.08,27.88,27.55,28.6,28.29,28.89,28.05
Tårnby,22.77,22.86,22.89,23.32,23.66,23.95,23.95,24.03,24.19,24.42,23.84
Albertslund,25.06,25.5,25.28,25.27,25.68,25.48,25.11,25.27,25.45,25.37,24.49
Ballerup,24.76,25.1,26.73,26.31,25.77,25.97,25.84,26.32,26.75,26.76,26.35
Brøndby,23.94,24.6,24.88,25.78,25.71,26.19,25.89,25.83,26.28,25.96,25.21
Gentofte,42.13,43.39,43.98,47.77,45.02,45.44,44.5,47.42,46.16,48.59,50.7
Gladsaxe,27.4,27.95,28.14,28.92,28.72,29.53,28.75,28.76,29.29,29.44,29.24
Glostrup,23.8,24.3,24.69,25.59,25.76,25.99,25.82,25.8,26.07,26.55,25.43
Herlev,24.12,25.05,24.87,24.96,25.71,25.53,25.71,25.55,26.63,25.97,25.42
Hvidovre,24.02,24.09,24.37,24.75,25.1,25.3,25.23,25.39,25.66,25.91,25.23
Høje-Taastrup,23.98,24.55,24.99,25.38,25.79,26.54,25.78,25.7,25.91,26.07,25.59
Ishøj,23.73,24.63,24.49,24.63,25.07,25.58,25.3,25.27,25.28,24.97,24.53
Lyngby-Taarbæk,32.7,33.11,35.97,39.22,35.96,36.72,36.61,36.09,36.14,39.28,39.09
Rødovre,23.77,24.19,24.58,25.38,25.55,26.08,25.81,25.75,26.27,26.31,25.73
Vallensbæk,23.51,24.18,25.54,25.56,24.64,24.99,25.25,25.56,25.37,25.66,25.05
Allerød,25.32,24.41,24.71,25.52,25.38,26.34,25.5,26.3,25.68,26.33,26.66
Egedal,20.71,21.51,21.71,22.73,22.64,23.9,23.96,23.12,23.01,24.34,22.98
Fredensborg,30.42,30.53,30.76,32.92,32.48,31.92,31.6,32.75,31.72,33.31,31.42
Frederikssund,22.98,23.49,23.69,24.24,24.46,24.59,24.75,24.77,25.06,25.3,24.87
Furesø,28.01,29.2,28.67,29.04,29.56,30.51,30.41,30.64,29.42,29.87,29.02
Gribskov,25.5,24.92,25.39,25.31,25.52,26.07,25.7,26.16,26.63,26.66,27.38
Halsnæs,21.39,22.11,22.34,22.92,22.85,23.81,23.5,23.25,23.79,23.86,23.3
Helsingør,27.63,28.74,28.83,29.39,29.22,29.78,29.4,30.68,29.97,30.83,30.54
