Municipality,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Copenhagen,569557,580184,591481,602481,613288,623404,632340,638117,644431,653664,659350
Frederiksberg,102717,103192,104481,105037,104410,103960,104305,103677,103608,104664,104899
Dragør,13977,14028,14142,14288,14272,14270,14494,14569,14640,14609,14569
Tårnby,41992,42573,42860,43010,43063,42984,42989,42670,42723,43042,43915
Albertslund,27728,27806,27880,27896,27743,27877,27731,27366,27599,27530,27677
Ballerup,48514,48355,48224,48231,48295,48458,48602,49310,49274,50039,51237
Brøndby,34580,35050,35322,35594,35538,35397,35090,35232,35651,37128,39067
Gentofte,74282,74932,75350,75805,75803,75176,74830,74550,74217,74838,75033
Gladsaxe,66656,67347,67914,68775,69484,69681,69262,69200,69259,70001,70600
Glostrup,22066,22357,22461,22528,22663,22615,23128,23380,23514,23635,23655
Herlev,27706,28148,28423,28406,28572,28786,28953,28913,28867,29215,29876
Hvidovre,51842,52380,52831,52964,53282,53416,53527,53451,53267,53443,53760
Høje-Taastrup,48807,49230,49960,50246,50596,50686,50759,51729,53053,55258,57540
Ishøj,21547,22025,22358,22719,22988,22946,22989,23131,23225,23457,23663
Lyngby-Taarbæk,54237,54778,55097,55240,55472,55790,56214,56614,57826,58434,58538
Rødovre,37552,37743,38002,38492,39343,40052,40652,41113,41382,42563,44328
Vallensbæk,15095,15204,15419,15705,16280,16654,16633,16515,16488,17031,17800
Allerød,24175,24411,24732,24942,25235,25646,25633,25893,25867,26061,25962
Egedal,42210,42573,42773,43082,43000,43335,43354,43696,44375,45202,45532
Fredensborg,39585,39772,40112,40504,40779,40819,40865,40998,41211,41689,42009
Frederikssund,44401,44413,44725,45036,45189,45332,45223,45439,45800,46117,46358
Furesø,38492,39077,40156,40613,40911,41069,40965,41001,41402,42077,42533
Gribskov,40778,40855,41107,41213,41217,41195,41048,40971,41147,41547,41920
Halsnæs,30647,30736,31049,31162,31168,31271,31384,31420,31344,31466,31515
Helsingør,61519,61632,62092,62443,62686,62567,62695,63000,62875,63399,63838
Hillerød,48695,49108,49672,50109,50650,50998,51183,51528,53257,54159,54422
Hørsholm,24709,24856,24965,24977,25028,25007,24864,24917,24761,24715,24811
Rudersdal,55034,55441,55739,56133,55989,56509,56728,57024,57247,57193,57237
Bornholm,40215,39828,39756,39695,39632,39572,39499,39570,39545,39602,39332
Christiansø,90,91,91,78,83,90,84,90,93,93,91
Greve,48095,48835,49518,49921,49974,50267,50558,50514,50818,51507,52157
Køge,58374,59285,59868,60109,60356,60675,60979,61475,61718,62458,62848
Lejre,26989,27172,27317,27402,27544,27775,27996,28173,28623,28930,29347
Roskilde,84219,85026,86207,87015,87382,87577,87914,88889,89447,90446,90931
Solrød,21339,21552,21788,22147,22518,23065,23255,23441,23794,24216,24579
Faxe,35119,35195,35614,35916,36139,36513,36576,36713,37161,37344,37753
Guldborgsund,61007,60829,60979,61257,61219,60930,60722,60328,60310,60231,59759
Holbæk,69016,69035,69972,70950,70983,71297,71541,71913,72810,73440,74129
Kalundborg,48358,48469,48660,48736,48982,48681,48436,48487,48368,48602,48309
Lolland,43528,43024,42638,42285,41982,41615,41105,40539,40107,39921,39632
Næstved,81432,81687,82342,82581,82938,82991,83143,83181,83801,84574,84747
Odsherred,32534,32665,32816,33023,33083,33122,32957,32923,32881,32977,32605
Ringsted,33349,33573,34031,34259,34473,34725,34852,34847,35141,35906,36356
Slagelse,76948,77293,78140,78828,78968,79073,79073,79122,79691,79728,79923
Sorø,29299,29331,29543,29595,29669,29834,29881,29993,30018,30444,30478
Stevns,21825,22038,22260,22492,22727,22782,22805,23034,23473,23692,23649
Vordingborg,45295,45471,45806,46037,46087,45816,45566,45268,45352,45441,45751
Assens,41037,41046,41224,41390,41328,41212,40965,40867,40972,40944,40646
Faaborg-Midtfyn,51078,50953,51236,51376,51536,51809,51556,51683,51849,52253,52291
Kerteminde,23665,23728,23880,23774,23756,23773,23812,23847,24034,23991,23894
Langeland,12695,12647,12547,12578,12641,12560,12491,12367,12316,12384,12260
