Municipality,Column1,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TOT Erhverv i alt,København,402710,409325,410292,423631,434322,444007,455164,463496,450890,489114,504448
,Frederiksberg,45488,46069,46792,47598,47227,46652,47875,47858,47111,49060,50546
,Dragør,3293,3358,3393,3380,3554,3615,3575,3504,3400,3711,3723
,Tårnby,28702,28566,28853,29783,30349,30999,31958,32539,27827,27365,31519
,Albertslund,20800,20209,21471,21760,22215,22020,22708,23245,22642,24242,24163
,Ballerup,43220,43528,43767,45263,45618,46167,46458,48776,49540,51282,53063
,Brøndby,24654,24772,24224,25334,25904,26471,27337,27182,28673,29676,30457
,Gentofte,40569,40873,41372,42689,42630,42398,42637,43912,44245,45966,48146
,Gladsaxe,41156,41778,43367,44914,46414,47780,47462,45540,45931,48655,52233
,Glostrup,22111,22726,23681,22527,22499,23335,23619,23769,22925,22987,22787
,Herlev,22336,21992,21901,22881,23567,24465,25181,24724,24893,26037,26698
,Hvidovre,29153,28941,30030,31056,32916,31945,32817,33629,34489,35040,35160
,Høje-Taastrup,31478,33103,35317,37931,39648,41579,42130,41349,40700,42982,43874
,Ishøj,9412,9241,9288,9391,9359,10147,10369,10384,10344,11244,11286
,Lyngby-Taarbæk,35562,36180,35730,36349,36917,37573,39388,39949,39268,41116,42151
,Rødovre,18080,17913,18122,17874,18398,19466,19408,20028,19345,19972,20518
,Vallensbæk,5122,5072,5057,5155,5779,6085,6315,6089,6152,6465,6389
,Allerød,15670,15348,14964,15304,15333,15774,15788,15831,15720,16177,16472
,Egedal,12378,12178,12374,12669,12719,13176,13295,13616,13389,13856,14070
,Fredensborg,13749,14011,14107,14313,14487,14305,14685,14720,14888,15852,15797
,Frederikssund,17937,17854,18044,17995,18127,17948,18080,17935,17933,18497,18642
,Furesø,13842,14242,14363,14704,14479,14909,15625,15617,15528,16318,16729
,Gribskov,13990,13843,13735,13876,13999,14143,14227,14172,14357,14864,14679
,Halsnæs,9548,9370,9343,9469,9664,9918,10083,9998,10067,10329,10582
,Helsingør,25297,24865,25005,25014,25460,25614,25806,25664,25561,27229,27234
,Hillerød,30022,31029,31709,32403,32854,33172,33495,34614,36011,37123,38669
,Hørsholm,10352,10326,10560,10566,10681,10727,10502,10548,10638,11319,11396
,Rudersdal,28912,28288,27903,28521,28996,28490,29430,29166,28756,30295,30745
,Bornholm,18414,17974,17857,17749,18305,18290,17972,18135,17687,18879,18694
,Christiansø,39,37,41,38,35,38,44,45,49,39,46
,Greve,19161,19066,19514,19568,19286,19895,20359,20203,21044,22127,22403
,Køge,27400,27605,28600,29316,30290,31099,31884,32346,32226,34988,35448
,Lejre,8740,8437,8454,8495,8532,8943,8922,9094,9126,9550,9597
,Roskilde,44651,44579,44251,45098,46120,46671,47813,48257,48524,50132,51369
,Solrød,6181,6081,6318,6303,6639,6985,7130,7126,7244,7612,7882
,Faxe,12991,13008,13147,13276,13304,13450,13808,14205,14428,14920,15601
,Guldborgsund,26023,25857,25349,25194,25471,26059,26202,26069,25701,27328,27188
,Holbæk,29749,29886,29504,29648,30225,30163,31082,31343,31347,33326,33581
,Kalundborg,20867,20723,20819,20637,20806,20695,20712,20897,21097,22144,23450
,Lolland,18432,18329,17769,17858,17543,17708,17834,18170,17698,18174,19017
,Næstved,35047,34926,34540,34326,34190,34745,34554,34726,35330,36536,36789
,Odsherred,12487,12568,12324,12017,12209,12255,12269,12365,12587,13026,13056
,Ringsted,16779,17372,17169,17566,17490,18543,18474,18079,18483,19811,20268
,Slagelse,34835,34803,35590,36526,37566,37409,37715,38889,38225,40433,40275
,Sorø,13021,12950,13161,13166,13015,13087,13201,13574,13769,13688,14171
,Stevns,6532,6532,6688,6491,6706,6717,6738,6796,6752,7069,7151
,Vordingborg,17997,18362,17742,17713,18011,18237,18123,18631,18538,19060,19064
,Assens,17133,17029,16729,16435,16586,16911,17152,17028,16901,17857,18013
,Faaborg-Midtfyn,20617,20402,20240,20265,20312,20799,21021,20800,20463,21027,21165
,Kerteminde,9407,9796,9995,10392,10461,11007,10452,10686,10462,10865,11518
,Langeland,4804,4799,4928,4847,4829,4832,4893,4883,4803,4994,4973
,Middelfart,17885,18192,18414,18919,19048,19594,19664,20444,20252,21055,21507
,Nordfyns,10843,10945,11006,10847,10947,11062,11033,10976,10878,11243,11286
,Nyborg,12393,12217,12225,12181,12124,12115,12393,12304,12348,12804,12942
,Odense,105631,105709,107675,108940,110923,113218,116105,118066,117991,126549,127913
,Svendborg,25613,26031,25604,25237,25525,25682,25690,25529,25172,26479,26881
,Ærø,2636,2451,2456,2438,2455,2457,2493,2453,2481,2590,2574
,Billund,19327,19387,19243,19432,20109,20296,20419,20978,20002,20992,22671
,Esbjerg,64575,64418,66051,65926,65932,65754,66228,66795,65805,69550,70083
,Fanø,1141,1147,1158,1149,1203,1220,1225,1228,1256,1349,1309
,Fredericia,28332,27841,28155,28634,29559,29763,30209,30684,30779,32638,33564
,Haderslev,25948,25500,26326,26008,26229,26612,26134,25805,25733,26808,26541
,Kolding,54222,54609,54260,55007,56563,57923,59129,58950,58377,61916,62630
,Sønderborg,37364,37084,36474,36023,36104,37006,37665,37442,36494,37849,37859
,Tønder,19523,19001,18732,18876,19009,18907,18917,18695,18663,19176,19140
,Varde,24485,24248,24461,24348,24295,24537,24584,24590,24185,25031,25174
,Vejen,20709,20440,21601,21801,22173,22537,22698,22601,22266,23317,23219
,Vejle,56000,56218,56797,57905,59863,60639,61462,62072,61858,64759,66146
,Aabenraa,31315,31566,32104,32697,33438,33774,34786,34657,34393,36156,35983
,Favrskov,19740,19590,19680,19844,20466,21051,21198,21661,21664,23097,22913
,Hedensted,21207,20995,21407,22131,22562,22847,23391,23453,23588,25108,25089
