Municipality,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
København,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.7,23.6
Frederiksberg,23.1,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,23.47,24.57
Dragør,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8
Tårnby,23.5,23.5,23.3,23.3,23.1,23.1,23.1,23.1,23.1,23.1,23.1,24.1
Albertslund,25.1,25.1,25.1,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
Ballerup,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
Brøndby,24.5,24.5,24.5,24.5,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
Gentofte,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,23.63,24.0,24.17,24.34
Gladsaxe,24.1,24.0,23.9,23.9,23.8,23.7,23.6,23.6,23.6,23.6,23.6,23.6
Glostrup,23.9,23.9,23.7,23.7,23.6,23.6,23.6,23.6,23.6,23.6,24.6,24.6
Herlev,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7
Hvidovre,25.6,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.4,25.4
Høje-Taastrup,24.7,24.7,24.7,24.7,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6
Ishøj,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Lyngby-Taarbæk,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,24.38,24.38,24.38,24.38
Rødovre,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7
Vallensbæk,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.6,25.6,25.6,25.6
Allerød,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,25.3,25.3
Egedal,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7
Fredensborg,25.4,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3
Frederikssund,25.4,25.4,25.4,25.4,25.4,25.3,25.8,25.8,25.8,25.8,25.8,25.8
Furesø,25.0,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.88,24.88
Gribskov,24.7,24.7,24.7,24.7,24.7,24.7,25.4,25.4,25.4,25.4,25.4,25.4
Halsnæs,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7
Helsingør,25.4,25.4,25.4,25.4,25.4,25.3,25.3,25.3,25.44,25.52,25.52,25.52
Hillerød,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.85,25.85,25.6,25.6
Hørsholm,23.5,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.7,23.7,23.7,23.7
Rudersdal,22.7,22.5,22.5,22.5,22.5,22.5,22.5,22.8,23.09,23.09,23.21,23.36
Bornholm,25.9,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2
Greve,23.9,23.9,23.9,23.9,23.9,23.9,23.9,24.1,24.21,24.32,24.42,24.52
Køge,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,25.26,25.26
Lejre,25.4,25.3,25.3,25.2,25.2,25.2,25.2,25.2,25.31,25.31,25.31,25.31
Roskilde,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
Solrød,24.8,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.71,24.81,24.9,24.99
Faxe,26.1,26.1,26.1,26.1,26.1,26.1,26.0,26.0,25.8,25.8,25.8,25.8
Guldborgsund,25.8,25.8,25.8,26.3,26.3,26.3,26.3,26.3,25.8,25.8,25.8,25.8
Holbæk,25.1,25.1,25.1,25.1,25.1,25.3,25.3,25.3,25.3,25.3,25.3,25.3
Kalundborg,25.0,25.0,25.0,25.0,25.0,25.0,24.8,24.8,24.4,24.2,24.2,24.2
Lolland,26.7,26.7,26.7,27.0,27.0,27.0,27.0,27.0,26.3,26.3,26.3,26.3
Næstved,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Odsherred,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.3,26.3,26.3,26.3
Ringsted,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.1,26.1,26.1,26.1
Slagelse,24.7,24.7,24.7,24.7,24.7,25.1,25.1,25.1,25.1,25.1,25.6,26.1
Sorø,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.3,26.3,26.3,26.3
Stevns,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0
Vordingborg,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.7,26.3
Assens,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1
Faaborg-Midtfyn,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1
Kerteminde,26.2,26.2,26.2,26.2,26.2,26.2,26.4,26.4,26.2,26.1,26.1,26.1
Langeland,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,26.3,26.3,26.3,26.3
Middelfart,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8
Nordfyns,26.1,26.1,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Nyborg,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.3,26.3,26.3,26.3
Odense,24.5,24.5,24.5,24.5,25.0,25.3,25.3,25.4,25.43,25.49,25.5,25.5
Svendborg,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.3,26.3,26.3,26.3
Ærø,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1
Billund,25.2,25.2,25.2,24.7,24.7,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Esbjerg,25.4,25.4,25.4,25.6,25.6,25.6,25.6,25.8,25.8,25.8,25.8,25.8
Fanø,24.3,24.3,24.3,24.3,24.9,24.9,24.9,24.9,25.23,25.43,25.66,25.77
Fredericia,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
Haderslev,26.5,26.5,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3
Kolding,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.5,25.5,25.5,25.5,25.5
Sønderborg,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7
Tønder,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3
Varde,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
Vejen,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.33,25.33
Vejle,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
Aabenraa,25.4,25.4,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
Favrskov,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7
Hedensted,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.52,25.52
Horsens,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.31,25.39,25.39,25.69
Norddjurs,25.1,25.1,25.1,25.6,25.6,25.6,26.7,26.7,26.3,26.1,26.0,26.0
Odder,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
Randers,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.8,25.8,25.8,25.8,25.8
Samsø,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.9,25.9,25.9,25.9
Silkeborg,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
Skanderborg,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.82,25.94,26.0,26.0
Syddjurs,25.7,25.7,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9
Aarhus,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.51,24.52,24.52,24.52
Herning,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,25.4
Holstebro,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.5,25.5,25.5,25.5,25.5
Ikast-Brande,25.1,25.1,25.6,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
Lemvig,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.35,25.46,25.46
Ringkøbing-Skjern,24.7,24.7,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Skive,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
Struer,24.9,24.9,24.9,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3
Viborg,25.8,25.8,25.7,25.7,25.7,25.7,25.7,25.7,25.5,25.5,25.5,25.5
Brønderslev,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.3,26.3,26.3,26.3
Frederikshavn,25.6,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2
Hjørring,25.6,25.6,25.9,25.9,25.9,25.9,25.9,26.1,26.1,26.1,26.21,26.21
Jammerbugt,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7
Læsø,25.8,25.8,25.8,25.8,26.5,26.5,26.5,26.5,26.3,26.3,26.3,26.3
Mariagerfjord,25.9,25.9,25.9,25.9,25.9,25.9,26.1,26.1,25.9,25.9,25.9,25.9
Morsø,25.3,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8
Rebild,25.1,25.1,25.1,25.1,25.5,25.5,25.5,25.5,25.33,25.33,25.33,25.83
Thisted,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
Vesthimmerlands,27.1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.3,26.3,26.3,26.3
Aalborg,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.6
,,,,,,,,,,,,
