municipality,year,cleaned_fuldtidsledige,cleaned_indbyggertal,average_age,cleaned_job,municipal_tax,cleaned_befolkning_og_indvandre,cleaned_uddannelse,jobs_normalized,unemployed_normalized,population_and_immigrants_normalized,education_normalized
Aabenraa,2014,1364.0,58970.0,42.8,31566.0,25.4,35424.0,13338.0,0.5352891300661353,0.023130405290825842,0.6007122265558759,0.22618280481600814
Aabenraa,2015,1229.0,58904.0,43.1,32104.0,25.6,35002.0,13133.0,0.5450224093440174,0.020864457422246366,0.5942211055276382,0.22295599619720222
Aabenraa,2016,1051.0,58869.0,43.5,32697.0,25.6,34542.0,12822.0,0.5554196606023544,0.01785319947680443,0.5867604341843755,0.21780563624318403
Aabenraa,2017,1055.0,59003.0,43.7,33438.0,25.6,34122.0,12606.0,0.5667169465959357,0.017880446756944564,0.5783095774791113,0.21365015338203142
Aabenraa,2018,956.0,59089.0,43.8,33774.0,25.6,33713.0,12243.0,0.5715784663812216,0.016178984244106347,0.5705461253363571,0.20719592479141632
Aabenraa,2019,893.0,59035.0,44.0,34786.0,25.6,33272.0,11959.0,0.5892436690099093,0.015126619801812484,0.5635978656729059,0.2025747437960532
Aabenraa,2020,1063.0,58761.0,44.3,34657.0,25.6,32962.0,11816.0,0.5897959530981434,0.018090229914399007,0.5609502901584384,0.20108575415666854
Aabenraa,2021,768.0,58526.0,44.7,34393.0,25.6,32479.0,11494.0,0.5876533506475754,0.013122372962444041,0.5549499367802344,0.19639134743532788
Aabenraa,2022,569.0,58693.0,44.9,36156.0,25.6,31928.0,11160.0,0.6160189460412656,0.009694512122399605,0.5439830984955617,0.19014192493142282
Aabenraa,2023,624.0,59002.0,45.0,35983.0,25.6,31324.0,10822.0,0.6098606826887224,0.01057591268092607,0.5308972577200772,0.18341751127080438
Aalborg,2014,5970.0,,39.7,113592.0,25.4,135575.0,37297.0,,,,
Aalborg,2015,5902.0,,39.8,114749.0,25.4,135549.0,36469.0,,,,
Aalborg,2016,5384.0,,39.8,118174.0,25.4,135483.0,35649.0,,,,
Aalborg,2017,5565.0,,39.8,121047.0,25.4,135237.0,34747.0,,,,
Aalborg,2018,5387.0,,39.9,121829.0,25.4,135780.0,34044.0,,,,
Aalborg,2019,5106.0,,40.0,123669.0,25.4,136667.0,33319.0,,,,
Aalborg,2020,6259.0,,40.1,123801.0,25.4,138074.0,33097.0,,,,
Aalborg,2021,4979.0,,40.2,123607.0,25.4,138986.0,32871.0,,,,
Aalborg,2022,3866.0,,40.2,130609.0,25.4,138901.0,32165.0,,,,
Aalborg,2023,4133.0,,40.3,133171.0,25.4,138979.0,31608.0,,,,
Aarhus,2014,7870.0,323893.0,37.5,198730.0,24.4,204873.0,48924.0,0.6135668260814529,0.02429814784512169,0.6325329661338775,0.1510498837579077
Aarhus,2015,7345.0,326246.0,37.6,202028.0,24.4,205531.0,47984.0,0.6192505042207413,0.022513685991552387,0.6299878006167126,0.1470791979058747
Aarhus,2016,7120.0,330639.0,37.7,207201.0,24.4,206455.0,47365.0,0.6266683603567638,0.021534059805407107,0.624412123191759,0.14325291329818926
